,AI Class,Species Desc,X,Y,Width,Height
65,LAGUA,Laughing Gull Adult,7240,4320,84,86
66,LAGUA,Laughing Gull Adult,6658,5005,72,75
67,LAGUA,Laughing Gull Adult,6052,5377,77,74
68,LAGUA,Laughing Gull Adult,6809,4800,105,62
69,LAGUA,Laughing Gull Adult,7670,5332,66,69
70,LAGUA,Laughing Gull Adult,8141,4939,51,102
71,LAGUA,Laughing Gull Adult,7963,4375,98,62
72,LAGUA,Laughing Gull Adult,7602,3471,104,61
73,LAGUA,Laughing Gull Adult,7782,3523,83,34
74,LAGUA,Laughing Gull Adult,7768,3114,53,100
75,LAGUA,Laughing Gull Adult,7864,3183,50,81
76,LAGUA,Laughing Gull Adult,7514,2883,71,68
77,LAGUA,Laughing Gull Adult,7904,2363,90,56
78,LAGUA,Laughing Gull Adult,7527,2228,76,89
79,LAGUA,Laughing Gull Adult,7826,2036,59,93
80,LAGUA,Laughing Gull Adult,7740,1920,84,64
81,LAGUA,Laughing Gull Adult,7793,1596,72,80
82,LAGUA,Laughing Gull Adult,7664,946,41,110
83,LAGUA,Laughing Gull Adult,7955,936,66,68
84,LAGUA,Laughing Gull Adult,7739,555,93,77
85,MTRNA,Mixed Tern Adult,1718,3296,102,58
86,MTRNA,Mixed Tern Adult,1495,3310,92,58
87,MTRNA,Mixed Tern Adult,1664,3380,102,60
88,MTRNA,Mixed Tern Adult,1584,3403,66,81
89,MTRNA,Mixed Tern Adult,1467,3408,101,78
90,MTRNA,Mixed Tern Adult,1668,3535,63,107
91,MTRNA,Mixed Tern Adult,1767,3516,81,99
92,MTRNA,Mixed Tern Adult,1587,3554,61,90
93,MTRNA,Mixed Tern Adult,1487,3671,75,115
94,MTRNA,Mixed Tern Adult,2132,3562,60,92
95,MTRNA,Mixed Tern Adult,2176,3631,87,43
96,MTRNA,Mixed Tern Adult,2230,3707,120,70
97,MTRNA,Mixed Tern Adult,2080,3747,76,105
98,MTRNA,Mixed Tern Adult,1975,3780,97,59
99,MTRNA,Mixed Tern Adult,1942,3708,104,47
100,MTRNA,Mixed Tern Adult,1931,3635,56,83
101,MTRNA,Mixed Tern Adult,1798,3627,96,64
102,MTRNA,Mixed Tern Adult,1698,3663,62,71
103,MTRNA,Mixed Tern Adult,1631,3646,63,86
104,MTRNA,Mixed Tern Adult,1548,3760,115,62
105,MTRNA,Mixed Tern Adult,1648,3748,75,30
106,MTRNA,Mixed Tern Adult,1654,3758,86,74
107,MTRNA,Mixed Tern Adult,1779,3732,95,62
108,MTRNA,Mixed Tern Adult,1898,3775,78,56
109,MTRNA,Mixed Tern Adult,1803,3807,89,84
110,MTRNA,Mixed Tern Adult,1734,3804,100,68
111,MTRNA,Mixed Tern Adult,1626,3863,82,63
112,MTRNA,Mixed Tern Adult,1531,3858,103,45
113,MTRNA,Mixed Tern Adult,1767,3888,129,64
114,MTRNA,Mixed Tern Adult,1691,3927,88,57
115,MTRNA,Mixed Tern Adult,2000,3868,48,102
116,MTRNA,Mixed Tern Adult,1884,3924,102,74
117,MTRNA,Mixed Tern Adult,1798,3979,77,83
118,MTRNA,Mixed Tern Adult,1880,4028,112,48
119,MTRNA,Mixed Tern Adult,2011,4007,57,85
120,MTRNA,Mixed Tern Adult,2084,3911,111,51
121,MTRNA,Mixed Tern Adult,2152,3855,112,59
122,MTRNA,Mixed Tern Adult,2210,3932,66,91
123,MTRNA,Mixed Tern Adult,1664,4015,96,69
124,MTRNA,Mixed Tern Adult,1570,4004,77,102
125,MTRNA,Mixed Tern Adult,1523,4090,80,93
126,MTRNA,Mixed Tern Adult,1508,4140,67,90
127,MTRNA,Mixed Tern Adult,828,4174,102,106
128,MTRNA,Mixed Tern Adult,1088,4295,52,111
129,MTRNA,Mixed Tern Adult,1124,4382,114,62
130,MTRNA,Mixed Tern Adult,1004,4382,87,73
131,MTRNA,Mixed Tern Adult,783,4375,93,59
132,MTRNA,Mixed Tern Adult,1022,4435,69,85
133,MTRNA,Mixed Tern Adult,5,4202,89,62
134,MTRNA,Mixed Tern Adult,178,4285,56,79
135,MTRNA,Mixed Tern Adult,256,4332,95,63
136,MTRNA,Mixed Tern Adult,130,4428,101,77
137,MTRNA,Mixed Tern Adult,34,4446,93,98
138,MTRNA,Mixed Tern Adult,2,4315,68,64
139,MTRNA,Mixed Tern Adult,247,4473,92,66
140,MTRNA,Mixed Tern Adult,290,4536,66,87
141,MTRNA,Mixed Tern Adult,180,4511,81,70
142,MTRNA,Mixed Tern Adult,79,4536,99,64
143,MTRNA,Mixed Tern Adult,19,4560,75,92
144,MTRNA,Mixed Tern Adult,855,4412,73,85
145,MTRNA,Mixed Tern Adult,777,4494,94,76
146,MTRNA,Mixed Tern Adult,827,4567,89,60
147,MTRNA,Mixed Tern Adult,922,4538,104,46
148,MTRNA,Mixed Tern Adult,1156,4466,82,66
149,MTRNA,Mixed Tern Adult,1275,4488,99,55
150,MTRNA,Mixed Tern Adult,1206,4571,67,89
151,MTRNA,Mixed Tern Adult,1110,4608,83,64
152,MTRNA,Mixed Tern Adult,1057,4545,72,93
153,MTRNA,Mixed Tern Adult,915,4588,78,84
154,MTRNA,Mixed Tern Adult,1676,4251,81,69
155,MTRNA,Mixed Tern Adult,1729,4149,62,96
156,MTRNA,Mixed Tern Adult,1778,4071,79,71
157,MTRNA,Mixed Tern Adult,1802,4126,62,75
158,MTRNA,Mixed Tern Adult,1764,4277,80,71
159,MTRNA,Mixed Tern Adult,1779,4378,101,38
160,MTRNA,Mixed Tern Adult,184,4633,72,60
161,MTRNA,Mixed Tern Adult,137,4649,96,62
162,MTRNA,Mixed Tern Adult,27,4683,106,57
163,MTRNA,Mixed Tern Adult,21,4738,76,81
164,MTRNA,Mixed Tern Adult,149,4758,69,108
165,MTRNA,Mixed Tern Adult,183,4814,85,72
166,MTRNA,Mixed Tern Adult,74,4834,57,91
167,MTRNA,Mixed Tern Adult,119,4898,105,56
168,MTRNA,Mixed Tern Adult,265,4882,71,60
169,MTRNA,Mixed Tern Adult,558,4710,91,88
170,MTRNA,Mixed Tern Adult,715,4612,83,72
171,MTRNA,Mixed Tern Adult,830,4695,106,55
172,MTRNA,Mixed Tern Adult,948,4693,69,88
173,MTRNA,Mixed Tern Adult,1022,4632,96,59
174,MTRNA,Mixed Tern Adult,1072,4707,102,60
175,MTRNA,Mixed Tern Adult,1183,4684,58,83
176,MTRNA,Mixed Tern Adult,1265,4781,101,36
177,MTRNA,Mixed Tern Adult,1163,4791,68,86
178,MTRNA,Mixed Tern Adult,1102,4809,76,86
179,MTRNA,Mixed Tern Adult,995,4805,80,80
180,MTRNA,Mixed Tern Adult,919,4840,89,44
181,MTRNA,Mixed Tern Adult,826,4779,89,62
182,MTRNA,Mixed Tern Adult,686,4763,104,65
183,MTRNA,Mixed Tern Adult,572,4822,110,51
184,MTRNA,Mixed Tern Adult,477,4808,97,57
185,MTRNA,Mixed Tern Adult,443,4904,82,73
186,MTRNA,Mixed Tern Adult,485,5018,103,51
187,MTRNA,Mixed Tern Adult,184,5006,90,51
188,MTRNA,Mixed Tern Adult,89,4975,62,89
189,MTRNA,Mixed Tern Adult,3,4929,75,69
190,MTRNA,Mixed Tern Adult,706,4859,64,96
191,MTRNA,Mixed Tern Adult,785,4871,98,60
192,MTRNA,Mixed Tern Adult,986,4901,71,82
193,MTRNA,Mixed Tern Adult,866,4959,86,65
194,MTRNA,Mixed Tern Adult,751,4952,102,56
195,MTRNA,Mixed Tern Adult,651,4972,93,52
196,MTRNA,Mixed Tern Adult,722,5038,112,38
197,MTRNA,Mixed Tern Adult,1034,4989,79,105
198,MTRNA,Mixed Tern Adult,1091,5011,114,67
199,MTRNA,Mixed Tern Adult,1194,4911,55,92
200,MTRNA,Mixed Tern Adult,1235,4846,91,64
201,MTRNA,Mixed Tern Adult,1323,4869,83,73
202,MTRNA,Mixed Tern Adult,1460,4834,59,95
203,MTRNA,Mixed Tern Adult,1531,4939,70,102
204,MTRNA,Mixed Tern Adult,1400,4962,98,51
205,MTRNA,Mixed Tern Adult,1255,4946,93,89
206,MTRNA,Mixed Tern Adult,1170,5057,97,43
207,MTRNA,Mixed Tern Adult,1312,5016,97,64
208,MTRNA,Mixed Tern Adult,958,5045,70,102
209,MTRNA,Mixed Tern Adult,851,5033,89,65
210,MTRNA,Mixed Tern Adult,523,5136,70,96
211,MTRNA,Mixed Tern Adult,378,5164,100,71
212,MTRNA,Mixed Tern Adult,696,5128,98,68
213,MTRNA,Mixed Tern Adult,647,5150,60,98
214,MTRNA,Mixed Tern Adult,106,5174,92,62
215,MTRNA,Mixed Tern Adult,98,5059,71,89
216,MTRNA,Mixed Tern Adult,21,5034,74,99
217,MTRNA,Mixed Tern Adult,40,5142,72,78
218,MTRNA,Mixed Tern Adult,777,5176,98,93
219,MTRNA,Mixed Tern Adult,889,5165,108,87
220,MTRNA,Mixed Tern Adult,992,5162,76,59
221,MTRNA,Mixed Tern Adult,1087,5116,96,58
222,MTRNA,Mixed Tern Adult,1189,5141,89,80
223,MTRNA,Mixed Tern Adult,1262,5102,109,57
224,MTRNA,Mixed Tern Adult,1377,5060,91,116
225,MTRNA,Mixed Tern Adult,1477,5059,98,80
226,MTRNA,Mixed Tern Adult,1578,5002,83,88
227,MTRNA,Mixed Tern Adult,1308,5177,102,68
228,MTRNA,Mixed Tern Adult,1457,5175,58,107
229,MTRNA,Mixed Tern Adult,1538,5137,111,74
230,MTRNA,Mixed Tern Adult,1661,5090,61,105
231,MTRNA,Mixed Tern Adult,1595,5212,131,55
232,MTRNA,Mixed Tern Adult,1728,5189,79,75
233,MTRNA,Mixed Tern Adult,1751,5093,76,63
234,MTRNA,Mixed Tern Adult,1767,4976,76,80
235,MTRNA,Mixed Tern Adult,1696,4994,79,73
236,MTRNA,Mixed Tern Adult,1706,4918,82,72
237,MTRNA,Mixed Tern Adult,1751,4848,105,51
238,MTRNA,Mixed Tern Adult,1756,4700,99,63
239,MTRNA,Mixed Tern Adult,1799,4759,105,79
240,MTRNA,Mixed Tern Adult,1869,4711,99,63
241,MTRNA,Mixed Tern Adult,1825,4633,103,41
242,MTRNA,Mixed Tern Adult,1865,4418,74,54
243,MTRNA,Mixed Tern Adult,1887,4325,75,88
244,MTRNA,Mixed Tern Adult,1889,4846,65,81
245,MTRNA,Mixed Tern Adult,1857,4938,85,74
246,MTRNA,Mixed Tern Adult,1835,5071,89,75
247,MTRNA,Mixed Tern Adult,1839,5129,54,93
248,MTRNA,Mixed Tern Adult,263,5234,100,50
249,MTRNA,Mixed Tern Adult,160,5237,108,70
250,MTRNA,Mixed Tern Adult,107,5233,55,91
251,MTRNA,Mixed Tern Adult,107,5326,91,63
252,MTRNA,Mixed Tern Adult,227,5312,60,100
253,MTRNA,Mixed Tern Adult,319,5335,81,101
254,MTRNA,Mixed Tern Adult,405,5284,65,106
255,MTRNA,Mixed Tern Adult,421,5378,80,67
256,MTRNA,Mixed Tern Adult,484,5414,95,39
257,MTRNA,Mixed Tern Adult,591,5313,109,52
258,MTRNA,Mixed Tern Adult,574,5202,70,84
259,MTRNA,Mixed Tern Adult,693,5216,71,101
260,MTRNA,Mixed Tern Adult,683,5342,100,84
261,MTRNA,Mixed Tern Adult,810,5331,111,72
262,MTRNA,Mixed Tern Adult,910,5354,99,65
263,MTRNA,Mixed Tern Adult,941,5258,103,59
264,MTRNA,Mixed Tern Adult,872,5236,77,85
265,MTRNA,Mixed Tern Adult,1088,5247,97,60
266,MTRNA,Mixed Tern Adult,1140,5323,107,52
267,MTRNA,Mixed Tern Adult,1048,5352,116,88
268,MTRNA,Mixed Tern Adult,1252,5231,55,118
269,MTRNA,Mixed Tern Adult,1364,5264,85,110
270,MTRNA,Mixed Tern Adult,1262,5365,72,83
271,MTRNA,Mixed Tern Adult,1414,5373,105,44
272,MTRNA,Mixed Tern Adult,1489,5253,54,108
273,MTRNA,Mixed Tern Adult,1549,5268,87,78
274,MTRNA,Mixed Tern Adult,838,5419,73,41
275,MTRNA,Mixed Tern Adult,1574,5384,88,75
276,MTRNA,Mixed Tern Adult,1682,5393,63,67
277,MTRNA,Mixed Tern Adult,1692,5295,73,95
278,MTRNA,Mixed Tern Adult,1750,5335,102,97
279,MTRNA,Mixed Tern Adult,1787,5252,89,69
280,MTRNA,Mixed Tern Adult,1886,5255,95,65
281,MTRNA,Mixed Tern Adult,1879,5368,86,71
282,MTRNA,Mixed Tern Adult,1904,4998,117,55
283,MTRNA,Mixed Tern Adult,3153,3043,104,52
284,MTRNA,Mixed Tern Adult,3559,2922,106,53
285,MTRNA,Mixed Tern Adult,3694,2918,112,51
286,MTRNA,Mixed Tern Adult,3804,2926,68,89
287,MTRNA,Mixed Tern Adult,3379,3215,61,91
288,MTRNA,Mixed Tern Adult,3671,3010,78,93
289,MTRNA,Mixed Tern Adult,3746,3052,68,96
290,MTRNA,Mixed Tern Adult,3660,3135,101,47
291,MTRNA,Mixed Tern Adult,3712,3190,117,54
292,MTRNA,Mixed Tern Adult,3648,3237,97,73
293,MTRNA,Mixed Tern Adult,3946,3215,74,88
294,MTRNA,Mixed Tern Adult,3836,3256,69,84
295,MTRNA,Mixed Tern Adult,3830,3342,114,44
296,MTRNA,Mixed Tern Adult,3687,3386,91,74
297,MTRNA,Mixed Tern Adult,3427,3367,93,68
298,MTRNA,Mixed Tern Adult,3278,3374,73,85
299,MTRNA,Mixed Tern Adult,3151,3399,105,78
300,MTRNA,Mixed Tern Adult,3897,3426,101,71
301,MTRNA,Mixed Tern Adult,3811,3421,83,70
302,MTRNA,Mixed Tern Adult,3745,3472,106,53
303,MTRNA,Mixed Tern Adult,3639,3461,78,86
304,MTRNA,Mixed Tern Adult,3526,3452,98,74
305,MTRNA,Mixed Tern Adult,3452,3480,54,103
306,MTRNA,Mixed Tern Adult,3233,3507,93,80
307,MTRNA,Mixed Tern Adult,3112,3579,111,67
308,MTRNA,Mixed Tern Adult,2472,3734,115,58
309,MTRNA,Mixed Tern Adult,3290,3582,61,116
310,MTRNA,Mixed Tern Adult,3254,3689,89,72
311,MTRNA,Mixed Tern Adult,3358,3646,95,50
312,MTRNA,Mixed Tern Adult,3485,3621,93,73
313,MTRNA,Mixed Tern Adult,3587,3546,40,115
314,MTRNA,Mixed Tern Adult,3828,3512,67,76
315,MTRNA,Mixed Tern Adult,3901,3522,82,100
316,MTRNA,Mixed Tern Adult,3889,3618,70,80
317,MTRNA,Mixed Tern Adult,3791,3647,91,60
318,MTRNA,Mixed Tern Adult,3720,3707,117,44
319,MTRNA,Mixed Tern Adult,3562,3704,103,66
320,MTRNA,Mixed Tern Adult,3487,3696,69,95
321,MTRNA,Mixed Tern Adult,3928,3680,91,74
322,MTRNA,Mixed Tern Adult,3845,3711,56,93
323,MTRNA,Mixed Tern Adult,3877,3779,103,46
324,MTRNA,Mixed Tern Adult,3825,3806,78,67
325,MTRNA,Mixed Tern Adult,3676,3759,81,72
326,MTRNA,Mixed Tern Adult,3700,3855,91,76
327,MTRNA,Mixed Tern Adult,3550,3784,67,101
328,MTRNA,Mixed Tern Adult,3451,3859,88,58
329,MTRNA,Mixed Tern Adult,3543,3906,100,71
330,MTRNA,Mixed Tern Adult,3472,3969,85,49
331,MTRNA,Mixed Tern Adult,3579,4000,98,93
332,MTRNA,Mixed Tern Adult,3500,4027,67,93
333,MTRNA,Mixed Tern Adult,3713,3949,94,70
334,MTRNA,Mixed Tern Adult,3791,3961,57,115
335,MTRNA,Mixed Tern Adult,3886,3999,56,119
336,MTRNA,Mixed Tern Adult,3900,3846,56,98
337,MTRNA,Mixed Tern Adult,3848,4073,58,99
338,MTRNA,Mixed Tern Adult,3731,4078,112,51
339,MTRNA,Mixed Tern Adult,2703,3976,79,86
340,MTRNA,Mixed Tern Adult,2588,4103,82,79
341,MTRNA,Mixed Tern Adult,2295,4019,93,71
342,MTRNA,Mixed Tern Adult,2188,4092,103,70
343,MTRNA,Mixed Tern Adult,3944,4104,95,50
344,MTRNA,Mixed Tern Adult,3882,4228,47,98
345,MTRNA,Mixed Tern Adult,3946,3950,86,82
346,MTRNA,Mixed Tern Adult,3959,3846,90,78
347,MTRNA,Mixed Tern Adult,3659,4157,98,46
348,MTRNA,Mixed Tern Adult,3510,4141,103,54
349,MTRNA,Mixed Tern Adult,3357,4175,122,51
350,MTRNA,Mixed Tern Adult,3280,4178,54,120
351,MTRNA,Mixed Tern Adult,3167,4119,68,106
352,MTRNA,Mixed Tern Adult,3336,4243,62,103
353,MTRNA,Mixed Tern Adult,3632,4248,94,72
354,MTRNA,Mixed Tern Adult,3690,4303,84,87
355,MTRNA,Mixed Tern Adult,3764,4265,71,99
356,MTRNA,Mixed Tern Adult,3874,4352,107,57
357,MTRNA,Mixed Tern Adult,3882,4470,108,53
358,MTRNA,Mixed Tern Adult,3088,4446,58,106
359,MTRNA,Mixed Tern Adult,2977,4356,58,91
360,MTRNA,Mixed Tern Adult,2740,4257,31,85
361,MTRNA,Mixed Tern Adult,2603,4275,87,96
362,MTRNA,Mixed Tern Adult,2338,4233,104,60
363,MTRNA,Mixed Tern Adult,2270,4369,105,67
364,MTRNA,Mixed Tern Adult,2229,4450,102,46
365,MTRNA,Mixed Tern Adult,2402,4417,114,40
366,MTRNA,Mixed Tern Adult,2534,4437,56,82
367,MTRNA,Mixed Tern Adult,2666,4397,101,61
368,MTRNA,Mixed Tern Adult,2761,4498,96,63
369,MTRNA,Mixed Tern Adult,2605,4530,73,88
370,MTRNA,Mixed Tern Adult,2404,4541,97,40
371,MTRNA,Mixed Tern Adult,2320,4555,72,101
372,MTRNA,Mixed Tern Adult,2193,4566,124,65
373,MTRNA,Mixed Tern Adult,2248,4615,67,85
374,MTRNA,Mixed Tern Adult,2180,4696,72,96
375,MTRNA,Mixed Tern Adult,2327,4728,65,99
376,MTRNA,Mixed Tern Adult,2267,4763,53,103
377,MTRNA,Mixed Tern Adult,2359,4789,102,64
378,MTRNA,Mixed Tern Adult,2420,4691,99,53
379,MTRNA,Mixed Tern Adult,2355,4635,69,92
380,MTRNA,Mixed Tern Adult,2496,4572,109,95
381,MTRNA,Mixed Tern Adult,2675,4555,112,79
382,MTRNA,Mixed Tern Adult,2801,4609,93,71
383,MTRNA,Mixed Tern Adult,2905,4610,113,80
384,MTRNA,Mixed Tern Adult,3030,4646,95,118
385,MTRNA,Mixed Tern Adult,3162,4719,61,97
386,MTRNA,Mixed Tern Adult,2864,4755,67,115
387,MTRNA,Mixed Tern Adult,2840,4709,62,75
388,MTRNA,Mixed Tern Adult,2724,4714,97,80
389,MTRNA,Mixed Tern Adult,2704,4627,74,81
390,MTRNA,Mixed Tern Adult,2644,4651,73,86
391,MTRNA,Mixed Tern Adult,2571,4735,83,98
392,MTRNA,Mixed Tern Adult,2567,4661,77,81
393,MTRNA,Mixed Tern Adult,2674,4776,81,62
394,MTRNA,Mixed Tern Adult,2719,4815,109,74
395,MTRNA,Mixed Tern Adult,2460,4800,106,69
396,MTRNA,Mixed Tern Adult,3948,4622,90,57
397,MTRNA,Mixed Tern Adult,3888,4561,99,61
398,MTRNA,Mixed Tern Adult,3904,4844,110,60
399,MTRNA,Mixed Tern Adult,3142,4872,85,99
400,MTRNA,Mixed Tern Adult,3293,4931,58,113
401,MTRNA,Mixed Tern Adult,3281,5101,101,42
402,MTRNA,Mixed Tern Adult,3508,5162,113,51
403,MTRNA,Mixed Tern Adult,2840,4892,99,60
404,MTRNA,Mixed Tern Adult,2771,4941,99,66
405,MTRNA,Mixed Tern Adult,2695,4908,111,55
406,MTRNA,Mixed Tern Adult,2533,4880,108,54
407,MTRNA,Mixed Tern Adult,2417,4901,108,67
408,MTRNA,Mixed Tern Adult,2292,4873,105,62
409,MTRNA,Mixed Tern Adult,2236,4892,55,111
410,MTRNA,Mixed Tern Adult,2166,4832,49,99
411,MTRNA,Mixed Tern Adult,2163,4993,78,82
412,MTRNA,Mixed Tern Adult,2258,4987,89,81
413,MTRNA,Mixed Tern Adult,2387,4981,90,64
414,MTRNA,Mixed Tern Adult,2516,4989,84,80
415,MTRNA,Mixed Tern Adult,2474,5006,64,82
416,MTRNA,Mixed Tern Adult,2818,5024,81,90
417,MTRNA,Mixed Tern Adult,2640,5046,100,55
418,MTRNA,Mixed Tern Adult,2554,5068,82,93
419,MTRNA,Mixed Tern Adult,2422,5151,98,61
420,MTRNA,Mixed Tern Adult,2322,5070,95,81
421,MTRNA,Mixed Tern Adult,2332,5132,78,91
422,MTRNA,Mixed Tern Adult,2256,5139,74,74
423,MTRNA,Mixed Tern Adult,2167,5087,105,65
424,MTRNA,Mixed Tern Adult,2174,5196,71,90
425,MTRNA,Mixed Tern Adult,2648,5158,98,45
426,MTRNA,Mixed Tern Adult,2763,5134,128,50
427,MTRNA,Mixed Tern Adult,2699,5244,113,57
428,MTRNA,Mixed Tern Adult,2524,5212,74,86
429,MTRNA,Mixed Tern Adult,2597,5196,64,68
430,MTRNA,Mixed Tern Adult,2389,5188,54,118
431,MTRNA,Mixed Tern Adult,2289,5203,73,117
432,MTRNA,Mixed Tern Adult,2204,5290,75,76
433,MTRNA,Mixed Tern Adult,2271,5325,115,49
434,MTRNA,Mixed Tern Adult,2227,5382,107,72
435,MTRNA,Mixed Tern Adult,2422,5354,76,60
436,MTRNA,Mixed Tern Adult,2487,5321,99,62
437,MTRNA,Mixed Tern Adult,2620,5335,67,104
438,MTRNA,Mixed Tern Adult,3467,5315,102,65
439,MTRNA,Mixed Tern Adult,3563,5271,97,61
440,MTRNA,Mixed Tern Adult,3867,5200,88,94
441,MTRNA,Mixed Tern Adult,3824,5095,99,48
442,MTRNA,Mixed Tern Adult,3764,4905,84,110
443,MTRNA,Mixed Tern Adult,3977,5277,79,70
444,MTRNA,Mixed Tern Adult,3977,5418,98,42
445,MTRNA,Mixed Tern Adult,4118,5362,111,46
446,MTRNA,Mixed Tern Adult,4082,5200,96,81
447,MTRNA,Mixed Tern Adult,4007,5042,56,118
448,MTRNA,Mixed Tern Adult,3942,4911,98,66
449,MTRNA,Mixed Tern Adult,4054,4837,75,78
450,MTRNA,Mixed Tern Adult,4037,5015,115,59
451,MTRNA,Mixed Tern Adult,4207,4781,88,54
452,MTRNA,Mixed Tern Adult,4121,4733,56,91
453,MTRNA,Mixed Tern Adult,4159,4485,72,89
454,MTRNA,Mixed Tern Adult,4046,4461,58,70
455,MTRNA,Mixed Tern Adult,4260,4531,83,85
456,MTRNA,Mixed Tern Adult,4168,4658,74,75
457,MTRNA,Mixed Tern Adult,4288,4657,56,87
458,MTRNA,Mixed Tern Adult,4338,4615,112,68
459,MTRNA,Mixed Tern Adult,4339,4514,94,54
460,MTRNA,Mixed Tern Adult,4423,4527,117,70
461,MTRNA,Mixed Tern Adult,4445,4652,62,111
462,MTRNA,Mixed Tern Adult,4352,4724,77,80
463,MTRNA,Mixed Tern Adult,4287,4855,101,52
464,MTRNA,Mixed Tern Adult,4319,4911,58,86
465,MTRNA,Mixed Tern Adult,4269,5152,104,63
466,MTRNA,Mixed Tern Adult,4164,5219,112,68
467,MTRNA,Mixed Tern Adult,4343,5221,64,90
468,MTRNA,Mixed Tern Adult,4324,5298,92,71
469,MTRNA,Mixed Tern Adult,4420,5227,73,94
470,MTRNA,Mixed Tern Adult,4548,5238,74,91
471,MTRNA,Mixed Tern Adult,4573,5165,89,54
472,MTRNA,Mixed Tern Adult,4464,5109,74,85
473,MTRNA,Mixed Tern Adult,4422,5019,72,75
474,MTRNA,Mixed Tern Adult,4531,5049,48,111
475,MTRNA,Mixed Tern Adult,4647,5058,42,87
476,MTRNA,Mixed Tern Adult,4422,4827,74,72
477,MTRNA,Mixed Tern Adult,4502,4755,77,68
478,MTRNA,Mixed Tern Adult,4516,4652,81,94
479,MTRNA,Mixed Tern Adult,4570,4610,85,90
480,MTRNA,Mixed Tern Adult,4581,4701,99,63
481,MTRNA,Mixed Tern Adult,4641,4790,53,75
482,MTRNA,Mixed Tern Adult,4554,4826,60,99
483,MTRNA,Mixed Tern Adult,4441,4921,97,57
484,MTRNA,Mixed Tern Adult,4508,4968,100,64
